,State,population
64,AK,738430
189,AL,4854803
314,AR,2979732
439,AZ,6832810
564,CA,38904296
689,CO,5454328
814,CT,3588561
939,DC,677014
1064,DE,942065
1189,FL,20219111
1314,GA,10183353
1389,HI,1422999
1514,IA,3122541
1639,ID,1652495
1764,IL,12859585
1889,IN,6611442
2014,KS,2910717
2139,KY,4429126
2264,LA,4666998
2389,MA,6797484
2514,MD,5988528
2639,ME,1329098
2764,MI,9934483
2889,MN,5484002
3014,MO,6075411
3139,MS,2990231
3264,MT,1031495
3389,NC,10037218
3514,ND,755537
3639,NE,1892059
3764,NH,1337480
3889,NJ,8870312
4014,NM,2090071
4139,NV,2868531
4264,NY,19657321
4389,OH,11622315
4514,OK,3910518
4639,OR,4018542
4764,PA,12789838
4889,RI,1056886
5014,SC,4896006
5139,SD,854663
5264,TN,6595354
5389,TX,27468531
5514,UT,2983626
5639,VA,8367303
5764,VT,625810
5889,WA,7167287
6014,WI,5762927
6139,WV,1843332
6264,WY,586389
